# Program:featureCounts v2.0.3; Command:"featureCounts" "-t" "exon" "-g" "Parent" "-O" "-M" "-a" "references/crassa/2489.all.withOrthoID.gff" "-o" "counts/crassa.featureCounts.tsv" "bams/crassa/SRR4448063.sam" "bams/crassa/SRR4448064.sam" "bams/crassa/SRR751454.cutadapt.sam" "bams/crassa/SRR755946.cutadapt.sam" "bams/crassa/SRR756251.cutadapt.sam" "bams/crassa/SRR756354.cutadapt.sam" "bams/crassa/SRR769610.sam" "bams/crassa/SRR769748.sam" 
Geneid	Chr	Start	End	Strand	Length	bams/crassa/SRR4448063.sam	bams/crassa/SRR4448064.sam	bams/crassa/SRR751454.cutadapt.sam	bams/crassa/SRR755946.cutadapt.sam	bams/crassa/SRR756251.cutadapt.sam	bams/crassa/SRR756354.cutadapt.sam	bams/crassa/SRR769610.sam	bams/crassa/SRR769748.sam
transcript:EDO64885	I;I	1151;1528	1449;2878	-;-	1650	750	1825	250	7441	2668	3554	0	0
transcript:EAA28780	I;I	3178;3895	3821;6443	+;+	3193	537	1553	38	6349	1616	2688	0	0
transcript:EAA28782	I;I	9177;12245	12188;13334	+;+	4102	433	606	63	7358	2903	5289	0	0
transcript:EDO64886	I;I;I	15930;16065;16491	16015;16295;16647	+;+;+	474	10	129	2	227	77	85	0	0
transcript:EAA28783	I;I	17441;18438	18362;19615	+;+	2100	111	482	45	3208	2019	1517	1	2
transcript:NCU14001-1	I;I	34691;34982	34875;35418	+;+	622	13	144	6	243	142	118	0	0
transcript:EAA29069	I;I;I	34981;36557;38669	36503;38605;39245	+;+;+	4149	187	692	104	4205	4024	2124	8	1
transcript:EAA29070	I	40950	42632	-	1683	29	29	2	207	65	100	0	0
transcript:EAA29071	I	43709	44551	-	843	16	17	0	145	50	50	0	0
transcript:EAA29072	I;I;I	45332;45973;47713	45913;47636;48154	-;-;-	2688	58	70	17	360	440	222	0	0
transcript:EAA29073	I;I	49237;51019	50967;52949	-;-	3662	119	93	20	893	1020	584	0	1
transcript:EAA29074	I	53114	54518	+	1405	25	40	2	122	56	60	0	0
transcript:EAA29075	I;I	54882;56904	56845;57945	+;+	3006	130	70	9	459	486	267	0	1
transcript:EAA29076	I	59146	61150	+	2005	30	47	2	193	124	136	0	0
transcript:EAA29077	I;I	62094;62635	62565;62950	+;+	788	20	18	1	33	23	19	0	0
transcript:EDO64965	I;I;I	91324;91593;92461	91514;92315;92593	+;+;+	1047	15	20	0	63	34	45	0	0
transcript:ESA43747	I;I;I;I;I;I	93474;95218;95407;95742;96320;97486	95046;95266;95467;95997;97262;98699	-;-;-;-;-;-	4096	86	64	5	277	205	152	0	0
transcript:ESA43748	I;I;I;I;I;I	93689;95218;95407;95742;96320;97486	95046;95266;95467;95997;97262;98954	-;-;-;-;-;-	4136	83	68	5	262	203	142	0	0
transcript:EAA35945	I;I	99983;101166	101042;102134	+;+	2029	44	39	3	154	155	89	0	0
transcript:EAA35946	I	102314	105940	-	3627	144	65	35	465	634	333	0	0
transcript:ESA43749	I	102849	103781	+	933	71	16	3	90	110	54	0	0
transcript:EAA35947	I;I;I	109911;110973;111335	110908;111273;112060	+;+;+	2025	53	73	46	1558	3290	1239	0	1
transcript:EAA35948	I	112097	113288	-	1192	94	64	1	95	68	41	0	0
transcript:EAA35949	I	113613	117165	+	3553	283	133	26	811	770	457	0	0
transcript:EAA35950	I	117750	119387	+	1638	512	588	435	7629	11145	4731	5	2
transcript:EAA35951	I;I	122928;127928	127863;128314	+;+	5323	150	126	41	1768	2664	1069	1	1
transcript:EAA35952	I;I	128668;129025	128949;129912	+;+	1170	31	41	0	183	129	105	0	0
transcript:EAA35953	I;I	130428;131787	131718;132364	-;-	1869	35	41	5	260	161	128	0	0
transcript:EAA35954	I;I;I;I	133836;134021;134222;134388	133961;134042;134290;134464	+;+;+;+	294	3	11	0	122	62	82	0	0
transcript:EAA35955	I;I;I	134927;136577;136795	136505;136737;137208	-;-;-	2154	30	52	8	226	130	107	0	0
transcript:EAA35957	I;I	137593;138191	138135;139980	+;+	2333	41	84	3	166	107	76	0	0
transcript:EAA35958	I;I;I;I	139966;141471;141779;142951	141404;141714;142860;143960	-;-;-;-	3775	118	162	10	500	363	266	0	0
transcript:EAA35959	I	144649	149497	-	4849	118	197	16	610	547	298	1	0
transcript:EAA35960	I;I	149511;151488	151410;152241	-;-	2654	98	170	1	318	159	133	0	0
transcript:EAA35961	I;I;I;I;I	152421;153532;153745;154387;154536	153481;153691;154328;154466;155040	-;-;-;-;-	2390	151	127	7	479	518	285	0	0
transcript:EDO64967	I;I	155599;156082	156011;157284	+;+	1616	32	59	2	160	114	79	0	0
transcript:EAA35962	I;I;I	158037;159507;159877	159428;159815;161116	+;+;+	2941	350	341	16	1361	1477	855	0	1
transcript:EAA35963	I	162307	163765	+	1459	31	50	4	127	67	48	0	0
transcript:EAA35964	I;I	163963;164155	164007;166034	+;+	1925	32	58	3	194	254	135	1	0
transcript:EAA35965	I;I;I;I;I;I;I	169835;171442;171729;172246;172415;172560;172853	171365;171670;171825;172340;172480;172668;173197	-;-;-;-;-;-;-	2472	271	206	24	585	652	395	0	0
transcript:EAA35966	I;I;I	173482;173775;174055	173701;173955;174938	+;+;+	1285	89	52	4	140	142	94	0	0
transcript:NCU15001-1	I	175041	175128	-	88	30	153	1	715	343	318	0	0
transcript:EAA35967	I	175275	178146	-	2872	203	151	11	546	697	269	0	1
transcript:EAA35968	I	178614	180242	-	1629	27	23	9	310	824	171	0	0
transcript:EAA35969	I	181223	181975	+	753	15	11	1	96	77	58	0	0
transcript:EAA35970	I;I;I;I	182428;184075;184564;184796	183921;184498;184735;185051	-;-;-;-	2346	26	30	11	468	279	288	0	0
transcript:EAA35971	I	186040	188208	+	2169	40	36	12	291	209	172	0	0
transcript:EAA35972	I	188531	189595	-	1065	15	9	65	1169	534	249	0	0
transcript:EAA35973	I;I	190407;190588	190506;191138	+;+	651	25	11	24	4478	2308	877	0	0
transcript:EAA35974	I;I	193144;193803	193627;194064	-;-	746	34	13	63	1288	749	554	0	0
transcript:EAA35975	I	195021	195335	-	315	5	2	0	6	8	9	0	0
transcript:ESA43750	I	195781	196290	-	510	2	2	0	22	20	9	0	0
transcript:EAA35976	I	198195	198497	+	303	5	8	0	19	16	13	0	0
transcript:EAA35978	I	208395	209343	-	949	20	8	2	720	390	534	0	0
transcript:EAA35979	I;I;I;I	210487;210925;211717;212108	210805;210945;212052;212487	+;+;+;+	1056	12	7	0	67	37	24	0	0
transcript:EAA35980	I;I;I	214620;214824;215038	214770;214971;215734	+;+;+	996	13	27	8	168	78	101	0	0
transcript:EAA35981	I	216105	216521	-	417	9	10	1	55	53	40	0	0
transcript:EAA35982	I;I	219396;220759	220697;220979	-;-	1523	43	56	1	148	123	72	0	0
transcript:EAA35984	I	224662	224874	+	213	5	17	0	9	21	3	0	0
transcript:ESA43751	I	226935	227879	-	945	90	201	18	547	412	336	1	1
transcript:EAA35985	I	227818	228981	-	1164	55	279	12	949	752	526	1	0
transcript:EDO64968	I;I	231496;232512	232411;232838	-;-	1243	25	64	3	155	121	88	0	0
transcript:ESA43752	I;I;I	233028;233373;233623	233256;233558;234749	+;+;+	1542	71	132	1	214	187	114	0	0
transcript:ESA43753	I;I;I	233215;233623;234407	233558;234247;234489	+;+;+	1052	50	120	0	156	150	96	0	0
transcript:EAA35987	I;I;I	234736;235569;235978	235448;235880;237045	-;-;-	2093	127	145	16	354	279	173	0	0
transcript:EAA35988	I;I;I;I	237549;237865;238034;238147	237797;237894;238084;238578	+;+;+;+	762	149	106	7	350	376	208	1	0
transcript:EAA35989	I;I	239112;239749	239506;240765	+;+	1412	43	60	1	113	67	58	0	0
transcript:EAA35990	I;I	240744;241536	241330;241840	-;-	892	13	24	5	169	71	108	0	0
transcript:EAA35991	I;I	243324;244178	243346;246248	-;-	2094	27	35	10	254	311	208	0	0
transcript:ESA43754	I;I	246887;247422	247378;247478	-;-	549	8	9	0	28	20	22	0	0
transcript:EAA35992	I;I;I	249097;250847;251518	250790;251445;251944	-;-;-	2720	42	61	6	161	119	95	0	0
transcript:EAA35993	I	253456	254492	+	1037	13	20	2	49	41	31	0	0
transcript:EAA35994	I	254975	255694	-	720	18	8	0	14	5	6	0	0
transcript:EAA35995	I	256166	256694	+	529	13	9	0	18	23	15	0	0
